2022-05-25T00:00:00+01:00,Intermittent clouds,8.0,7
2022-05-25T01:00:00+01:00,Intermittent clouds,9.2,7
2022-05-25T01:00:00+01:00,Intermittent clouds,9.2,7.8,7
2022-05-25T01:00:00+01:00,Intermittent clouds,9.2,7.8,7
2022-05-25T01:00:00+01:00,Intermittent clouds,9.2,7.8,7
2022-05-25T01:00:00+01:00,Intermittent clouds,9.2,7.8,7
2022-05-25T01:00:00+01:00,Intermittent clouds,9.2,7.8,7
2022-05-25T01:00:00+01:00,Intermittent clouds,9.2,7.8,7
2022-05-25T13:00:00+01:00,Cloudy,16.6,15.4,43
2022-05-25T13:00:00+01:00,Cloudy,16.6,15.4,43
2022-05-25T13:00:00+01:00,Cloudy,16.6,15.4,43
2022-05-25T13:00:00+01:00,Cloudy,16.6,15.4,43
2022-05-25T13:00:00+01:00,Cloudy,16.6,15.4,43
2022-05-25T14:00:00+01:00,Showers,17.3,14.4,60
2022-05-25T14:00:00+01:00,Showers,17.3,14.4,60
2022-05-25T14:00:00+01:00,Showers,17.3,14.4,60
2022-05-25T14:00:00+01:00,Showers,17.3,14.4,60
2022-05-25T14:00:00+01:00,Showers,17.3,14.4,60
2022-05-25T14:00:00+01:00,Showers,17.3,14.4,60
2022-05-25T14:00:00+01:00,Showers,17.3,14.4,60
2022-05-25T14:00:00+01:00,Showers,17.3,14.4,60
2022-05-25T14:00:00+01:00,Showers,17.3,14.4,60
2022-05-25T14:00:00+01:00,Showers,17.3,14.4,60
2022-05-25T14:00:00+01:00,Showers,17.3,14.4,60
2022-05-25T14:00:00+01:00,Showers,17.3,14.3,60
2022-05-25T14:00:00+01:00,Showers,17.3,14.3,60
2022-05-25T14:00:00+01:00,Showers,17.3,14.4,60
2022-05-25T14:00:00+01:00,Showers,17.3,14.3,60
2022-05-25T14:00:00+01:00,Showers,17.3,14.3,60
2022-05-25T14:00:00+01:00,Showers,17.3,14.3,60
2022-05-25T15:00:00+01:00,Mostly cloudy,17.8,16.5,49
2022-05-25T15:00:00+01:00,Mostly cloudy,17.8,16.5,49
2022-05-25T15:00:00+01:00,Mostly cloudy,17.8,16.5,49
2022-05-25T15:00:00+01:00,Mostly cloudy,17.8,16.5,49
2022-05-25T15:00:00+01:00,Mostly cloudy,17.8,16.7,49
2022-05-25T15:00:00+01:00,Mostly cloudy,17.8,16.5,49
2022-05-25T15:00:00+01:00,Mostly cloudy,17.8,16.7,49
2022-05-25T15:00:00+01:00,Mostly cloudy,17.8,16.7,49
