2022-05-25T01:00:00+01:00,Intermittent clouds,9.2,7
2022-05-25T02:00:00+01:00,Cloudy,8.7,7.0,6
2022-05-25T02:00:00+01:00,Cloudy,8.7,7.0,6
2022-05-25T02:00:00+01:00,Cloudy,8.7,7.0,6
2022-05-25T02:00:00+01:00,Cloudy,8.7,7.0,6
2022-05-25T02:00:00+01:00,Cloudy,8.7,7.0,6
2022-05-25T14:00:00+01:00,Showers,17.3,14.4,60
2022-05-25T14:00:00+01:00,Showers,17.3,14.4,60
2022-05-25T14:00:00+01:00,Showers,17.3,14.4,60
2022-05-25T14:00:00+01:00,Showers,17.3,14.4,60
2022-05-25T14:00:00+01:00,Showers,17.3,14.4,60
2022-05-25T15:00:00+01:00,Mostly cloudy,17.8,16.5,49
2022-05-25T15:00:00+01:00,Mostly cloudy,17.8,16.5,49
