2022-05-25T02:00:00+01:00,Cloudy,8.7,6
2022-05-25T02:00:00+01:00,Cloudy,8.7,6
2022-05-25T03:00:00+01:00,Cloudy,9.0,7.0,6
2022-05-25T03:00:00+01:00,Cloudy,9.0,7.0,6
2022-05-25T03:00:00+01:00,Cloudy,9.0,7.0,6
2022-05-25T15:00:00+01:00,Mostly cloudy,17.8,16.5,49
2022-05-25T15:00:00+01:00,Mostly cloudy,17.8,16.5,49
2022-05-25T15:00:00+01:00,Mostly cloudy,17.8,16.5,49
2022-05-25T15:00:00+01:00,Mostly cloudy,17.8,16.5,49
2022-05-25T15:00:00+01:00,Mostly cloudy,17.8,16.5,49
2022-05-25T16:00:00+01:00,Showers,18.6,16.4,60
2022-05-25T16:00:00+01:00,Showers,18.6,16.4,60
