Date,Hour,Power (KW)
2022-07-18,0,2.3010667e-05
2022-07-18,1,2.3010667e-05
2022-07-18,2,2.3010667e-05
2022-07-18,3,2.3010667e-05
2022-07-18,4,2.3010667e-05
2022-07-18,5,2.3010667e-05
2022-07-18,6,0.23413566
2022-07-18,7,0.25174245
2022-07-18,8,1.4049046
2022-07-18,9,1.3700446
2022-07-18,10,1.3110262
2022-07-18,11,1.738168
2022-07-18,12,1.7838513
2022-07-18,13,1.6551809
2022-07-18,14,1.6551809
2022-07-18,15,1.6166285
2022-07-18,16,1.5743101
2022-07-18,17,1.585893
2022-07-18,18,1.2373115
2022-07-18,19,0.8870694
2022-07-18,20,1.0362955
2022-07-18,21,-0.030865593
2022-07-18,22,2.3010667e-05
2022-07-18,23,2.3010667e-05
